Index,PDB_ID
0,2Z3H
1,4AAW
2,4YHJ
3,14GS
4,2V3R
5,4RN0
6,1FMC
7,3DAF
8,1A2G
9,5W2G
10,3DZH
11,3G51
12,1COY
13,2JJG
14,2RHY
15,2PQW
16,4G3D
17,5BUR
18,3GS6
19,1R1H
20,1DXO
21,1GG5
22,5Q0K
23,5B08
24,2AZY
25,5I0B
26,1PHK
27,4KEU
28,4Q8B
29,1DJY
30,5L1V
31,4ZFA
32,2RMA
33,3B6H
34,2ZEN
35,4P6P
36,3U5Y
37,4F1M
38,4TQR
39,4LFU
40,3JYH
41,4IWQ
42,1L3L
43,5NGZ
44,1E8H
45,2E24
46,2HCJ
47,3KC1
48,1D7J
49,4JA8
50,4U5S
51,4IIY
52,3V4T
53,3TYM
54,4D7O
55,3EJ8
56,1RS9
57,4KCQ
58,3PDH
59,1UMD
60,4PXZ
61,2GNS
62,1AI4
63,5MMA
64,2CY0
65,3W83
66,2E6D
67,4RV4
68,5D7N
69,5MGL
70,1H36
71,4GVD
72,4TOS
73,5AEH
74,4H3C
75,4RLU
76,4XLI
77,3L3N
78,5TJN
79,5LIU
80,3O96
81,4QLK
82,3HY9
83,4BEL
84,3NFB
85,4M7T
86,3U9F
87,4AUA
88,2F2C
89,3CHC
90,1K9T
91,1H0I
92,4Z2G
93,3AF2
94,1JN2
95,3LI4
96,3PNM
97,1AFS
98,4AZF
99,2PC8
